"Nest.ID","J.day","Year","Stage","Day.night","T.mean","T.min","T.max","T.n","T.sd","Nest.ID.type","CV","Type","Nest.id","Forest","DateFound.s","Treat.s","Point.n","Species","ActiveDate","Active.J.Date","LastCheck","expos","survive","status","Prob.Sure","cause.fail","Cause.Fail","clutch","egg.hatch","fledged","bhco.egg","BHCOfledge","Perc.hatch","Perc.fledge","nest.attempt","Trial","fem.ID","male.ID","Nest.Hgt.m.","Subs.Hgt.m.","Subst.1","M.Cond","M.Age","M.Wing","M.Mass","F.Cond","F.Age","F.Wng","F.Mass","hatch.date","fledge.date","fail.date","Year.gis","Date_Found","Point.gis","Female_ID","Male_ID","latitude","longitude","IMI_inside","IMI_all","IMI_dist","elevation","slope","aspect","tpi_25","tpi_50","tpi25_3cat","tpi25_6cat","tpi50_3cat","tpi50_6cat","date","number.on.bouts","number.off.bouts","mean.time.on.bout","mean.time.off.bout","perc.in","first.off","last.on","Date","Nest.ID.orig","time.min","time.max","obs.time","prop.day","prop.day.r"
"171.15",147,2015,"Inc","Night",18.612,17.5,21,125,0.947968966,"T171.ambient",0.0509,"ambient",171,"TAR","5/13/2015","TT",171,"HOWA",42137,133,42160,22,1,"Fail","sure","see vid","BHCO",4,4,0,0,0,100,0,1,1,"MAWW","SAMS",0.6,1,"spicebush",NA,NA,NA,NA,NA,"SY",NA,NA,NA,NA,NA,2015,"5/13/2015",171,"MAWW","SAMS",39.32986224,-82.77072671,65,65,0,296.9230042,27.20159912,325.9419861,20.59620094,35.00640106,"ridge","ridge","ridge","ridge","5/27/2015",15,14,2720,531.4285714,84.57711443,6.083333333,13.43333333,"2015-05-27","T171",0.01694444,23.98278,23.96583556,0.998576482,1
"171.15",147,2015,"Inc","Night",32.232,31.5,33,125,0.383868257,"T171.nest",0.0119,"nest",171,"TAR","5/13/2015","TT",171,"HOWA",42137,133,42160,22,1,"Fail","sure","see vid","BHCO",4,4,0,0,0,100,0,1,1,"MAWW","SAMS",0.6,1,"spicebush",NA,NA,NA,NA,NA,"SY",NA,NA,NA,NA,NA,2015,"5/13/2015",171,"MAWW","SAMS",39.32986224,-82.77072671,65,65,0,296.9230042,27.20159912,325.9419861,20.59620094,35.00640106,"ridge","ridge","ridge","ridge","5/27/2015",15,14,2720,531.4285714,84.57711443,6.083333333,13.43333333,"2015-05-27","T171",0.01694444,23.98278,23.96583556,0.998576482,1
"190.12",140,2012,"Inc","Day",33.41818182,26.5,38.5,55,2.783489078,"190.12.nest",0.0833,"nest",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/19/2012",11,10,1221.818182,384,77.77777778,13.25,20.58333333,"2012-05-19","190.12",12.08472222,23.93194444,11.84722222,0.493634259,0.5
"190.12",140,2012,"Inc","Night",17.58823529,16.5,19,17,0.733895729,"190.12.ambient",0.0417,"ambient",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/19/2012",11,10,1221.818182,384,77.77777778,13.25,20.58333333,"2012-05-19","190.12",12.08472222,23.93194444,11.84722222,0.493634259,0.5
"190.12",141,2012,"Inc","Day",33.15053763,24.5,37,93,2.834938219,"190.12.nest",0.0855,"nest",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/20/2012",24,23,1160,292.173913,80.55555556,2.416666667,20.75,"2012-05-20","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
"190.12",141,2012,"Inc","Night",16.32352941,14,19.5,51,1.333504891,"190.12.ambient",0.0817,"ambient",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/20/2012",24,23,1160,292.173913,80.55555556,2.416666667,20.75,"2012-05-20","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
"190.12",142,2012,"Inc","Night",16.83333333,15,21.5,51,1.979057015,"190.12.ambient",0.117567743,"ambient",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/21/2012",21,20,1348.571429,312,81.94444444,5.25,20.58333333,"2012-05-21","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
"190.12",142,2012,"Inc","Day",34.30645161,27,37.5,93,2.183226892,"190.12.nest",0.0636,"nest",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/21/2012",21,20,1348.571429,312,81.94444444,5.25,20.58333333,"2012-05-21","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
"190.12",143,2012,"Inc","Day",33.40957447,26,36.5,94,2.123806136,"190.12.nest",0.0636,"nest",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/22/2012",23,22,1210.434783,305.4545455,80.55555556,6.25,20.91666667,"2012-05-22","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
"190.12",143,2012,"Inc","Night",16.47058824,14.5,18,51,0.986973985,"190.12.ambient",0.0599,"ambient",190,"TAR","5/19/2012","TT",190,"HOWA",140,140,162,21.5,0,"Success","Sure",NA,NA,4,2,2,0,0,50,50,1,1,"RAWY",NA,0.5,1,"chestnut oak",NA,NA,NA,NA,NA,"SY","61.5","11","5/31/2012","6/10/2012",NA,2012,"5/19/2012",190,"RAWY",NA,39.32959406,-82.771456,64,64,0,282.9580078,29.92560005,324.269989,14.2802,25.08760071,"ridge","ridge","ridge","ridge","5/22/2012",23,22,1210.434783,305.4545455,80.55555556,6.25,20.91666667,"2012-05-22","190.12",0.084722222,23.93194444,23.84722222,0.993634259,1
